A101,A101,Networking and Communications Lab,Εργαστήριο Τηλεπικοινωνιών και Δικτύων
A103,A103,Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης,2
A105,A105,Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης,2
A107,A107,Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης,1
A109,A109,Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης,1
A111,A111,Lecture Room - Αίθουσα Διδασκαλίας,A1
A113,A113,Lecture Room - Αίθουσα Διδασκαλίας,A1
A115,A115,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,"Lecture Room - Αίθουσα Διδασκαλίας , A2"
A117,A117,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,"Lecture Room - Αίθουσα Διδασκαλίας , A2"
A119,A119,Lecture Room - Αίθουσα Διδασκαλίας,A3
A121,A121,Lecture Room - Αίθουσα Διδασκαλίας,A3
A123,A123,Lecture Room - Αίθουσα Διδασκαλίας,A4
A125,A125,Lecture Room - Αίθουσα Διδασκαλίας,A4
B101,B101,,
B102,B102,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
B103,B103,,
B104,B104,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
B105,B105,,
B106,B106,Lecture Room,Αίθουσα Διδασκαλίας με Η/Υ
B107,B107,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
B108,B108,Lecture Room,Αίθουσα Διδασκαλίας με Η/Υ
B109,B109,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Graduate Students - Μεταπτυχιακοί Φοιτητές
B110,B110,Lecture Room,Αίθουσα Διδασκαλίας με Η/Υ
B111,B111,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Graduate Students - Μεταπτυχιακοί Φοιτητές
B112,B112,,
B113,B113,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
B115,B115,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
E101,E101,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
E102,E102,,
E103,E103,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
E104,E104,,
E105,E105,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
E106,E106,,
E108,E108,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
E110,E110,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
E112,E112,Computer Room,Εκπαιδευτικό Εργαστήριο Η/Υ
H101,H101,,
H102,H102,,
H103,H103,,
H104,H104,Storage Room,Αποθήκη
H105,H105,Cafeteria,Κυλικείο
H106,H106,CSD Students' Association,Σύλλογος Φοιτητών ΤΕΥ
H107,H107,Storage Room,Αποθήκη
H108,H108,Technical Support,Τεχνική Υποστήριξη
H109,H109,Front Door,
H109b,H109,Back Door,
H110,H110,Materials Storage,Αποθήκη Υλικού
H112,H112,,
H114,H114,,
B201,B201,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Teaching Personnel: Stamatis Stamatiadis - ΕΔΙΠ: Σταμάτης Σταματιάδης
B202,B202,Machine Room,Αίθουσα Μηχανών
B203,B203,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Teaching Personnel: Emmanuel Tyllianakis - ΕΔΙΠ: Εμμανουήλ Τυλλιανάκης
B204,B204,Machine Room,Αίθουσα Μηχανών
B205,B205,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Professor: George Kioseoglou - Καθηγητής: Γεώργιος Κιοσέογλου
B206,B206,Service,Συντήρηση
B207,B207,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Associate Professor: Ioannis Remediakis - Αναπληρωτής Καθηγητής: Ιωάννης Ρεμεδιάκης
B208,B208,Graduate Students,Μεταπτυχιακό Σπουδαστήριο
B209,B209,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Associate Professor: George Kopidakis - Αναπληρωτής Καθηγητής: Γεώργιος Κοπιδάκης
B210,B210,Graduate Students,Μεταπτυχιακό Σπουδαστήριο
B211,B211,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,Associate Professor: Andreas Lyberatos - Αναπληρωτής Καθηγητής: Ανδρέας Λυμπεράτος
B212,B212,Graduate Students,Μεταπτυχιακό Σπουδαστήριο
B213,B213,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,"Professor: Maria Kafesaki , Associate Professor: Dimitrios Papazoglou - Καθηγήτρια:Μαρία Καφεσάκη , Αναπληρωτής Καθηγητής: Δημήτριος Παπάζογλου"
B214,B214,,
B215,B215,Yannis Sourlantzis,Γιάννης Σουρλαντζής
B217,B217,Nikolas Krassas,Νίκος Κρασσάς
B219,B219,Panagiotis Vavilis,Παναγιώτης Βαβίλης
B221,B221,,
B223,B223,,
B225,B225,,
B227,B227,Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών,"Assistant Professor: Dimitrios Tzeranis - Επίκουρος Καθηγητής, Δημήτριος Τζεράνης"
B229,B229,Maria Mamalaki,Μαίρη Μαμαλάκη
E201,E201,Office of Undergraduate Studies - Γραμματεία Προπτυχιακών Σπουδών,"Stella Syntichaki , Despoina Chatzaki - Στέλλα Συντιχάκη , Δέσποινα Χατζάκη"
E202,E202,Office of Graduate Studies,Γραμματεία Μεταπτυχιακών Σπουδών
E203,E203,Copy Room,Θυρίδες - Φωτοτυπικό
E204,E204,Office of Doctoral Candidates,Γραφείο Υποψήφιων Διδακτόρων
E205,E205,Department of Computer Science - Registry,Τμήμα Επιστήμης Υπολογιστών - Αρχείο
E206,E206,Noni Rizopoulou,Νόνη Ριζοπούλου
E207,E207,,
E208,E208,Conference Room - Peer Access Unit,ΑΙΘΟΥΣΑ ΣΥΝΕΔΡΙΩΝ - ΜΟΝΑΔΑ ΙΣΟΤΙΜΗΣ ΠΡΟΣΒΑΣΗΣ
E210,E210,Pavlos Mathioudakis,Παύλος Μαθιουδάκης
H201,H201,Cleaning Team,Ομάδα Καθαριότητας
H202,H202,Lecture Room,H1
H203,H203,Data Processing Laboratory - Εργαστήριο Επεξεργασίας Δεδομένων,"Athanasia Margetousaki, Harria Papadaki, Maria Vitsaki, Glykeria Fragioudaki"
H204,H204,Lecture Room,H1
H205,H205,0xdeadalu5 CTF Team,Ομάδα Δαίδαλος
H206,H206,Lecture Rooom,H2
H208,H208,Lecture Room,H3
H210,H210,,
H212,H212,,
H214,H214,,
H216,H216,,
K201,K201,Meeting Room,Αίθουσα Συναντήσεων
K202,K202,Distance Learning Classroom,Αίθουσα Τηλεκπαίδευσης
K203,K203,Data Processing Laboratory - Εργαστήριο Επεξεργασίας Δεδομένων,Giorgos Vitsakis - Γιώργος Βιτσάκης
K204,K204,Distance Learning Classroom,Αίθουσα Τηλεκπαίδευσης
K205,K205,Data Processing Laboratory - Εργαστήριο Επεξεργασίας Δεδομένων,Grigoris Tzanodaskalakis - Γρηγόρης Τζανοδασκαλάκης
K206,K206,Distance Learning Classroom,Αίθουσα Τηλεκπαίδευσης
K207,K207,Michalis Mountantonakis,Μιχάλης Μουνταντωνάκης
K208,K208,Distance Learning Classroom,Αίθουσα Τηλεκπαίδευσης
K209,K209,Visiting Faculty,Επισκέπτης Καθηγητής
K210,K210,Data Analysis Laboratory,Εργαστήριο Ανάλυσης Δεδομένων
K211,K211,Fragkiadakis Yannis,Φραγκιαδάκης Γιάννης
K213,K213,,
K212,K212,Data Analysis Laboratory,Εργαστήριο Ανάλυσης Δεδομένων
K214,K214,Parallel and Distributed Computing Laboratory,Εργαστήριο Παράλληλου και Κατανεμημένου Υπολογισμού
K215,K215,George Papagiannakis,Γιώργος Παπαγιαννάκης
K216,K216,3D Printing & Makers' Lab - Εργαστήριο 3D Εκτύπωσης και Κατασκευών,Information and Knowledge Systems Engineering Laboratory - Εργαστήριο Μηχανικής Πληροφοριακών και Γνωσιακών Συστημάτων
K217,K217,Meeting Room,Αίθουσα Συναντήσεων
K218,K218,Information and Knowledge Systems Engineering Laboratory,Εργαστήριο Μηχανικής Πληροφοριακών και Γνωσιακών Συστημάτων
K219,K219,Meeting Room,Αίθουσα Συναντήσεων
K220,K220,Information and Knowledge Systems Engineering Laboratory,Εργαστήριο Μηχανικής Πληροφοριακών και Γνωσιακών Συστημάτων
K221,K221,Yannis Tzitzikas,Γιάννης Τζίτζικας
K223,K223,Marios Pitikakis,Μάριος Πιτικάκης
K225,K225,Data Analysis Laboratory - Εργαστήριο Ανάλυσης Δεδομένων,Postdoctoral Researchers - Μεταδιδακτορικοί Ερευνητές
K227,K227,Data Analysis Laboratory - Εργαστήριο Ανάλυσης Δεδομένων,"Secretariat , Postdoctoral Researcher - Γραμματεία , Μεταδιδακτορικός Ερευνητής"
B301,B301,Visiting Faculty,Επισκέπτης Καθηγητής
B302,B302,Visiting Faculty,Επισκέπτης Καθηγητής
B303,B303,Visiting Faculty,Επισκέπτης Καθηγητής
B304,B304,Tsagkatakis Grigorios,Τσαγκατάκης Γρηγόριος
B305,B305,Visiting Faculty,Επισκέπτης Καθηγητής
B306,B306,Signal and Image Processing Laboratory,Εργαστήριο Επεξεργασίας Σημάτων και Εικόνων
B307,B307,Visiting Faculty,Επισκέπτης Καθηγητής
B308,B308,Signal and Image Processing Laboratory,Εργαστήριο Επεξεργασίας Σημάτων και Εικόνων
B309,B309,Panos Tsakalides,Πάνος Τσακαλίδης
B310,B310,Εργαστήριο Δικτύων και Κινητών Υπολογιστικών Συστημάτων,
B311,B311,Visiting Faculty,Επισκέπτης Καθηγητής
B312,B312,Εργαστήριο Δικτύων και Κινητών Υπολογιστικών Συστημάτων,
B313,B313,Thanasis Mouchtaris,Θανάσης Μουχτάρης
B314,B314,Faculty Meeting Room,Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
B315,B315,Maria Papadopouli,Μαρία Παπαδοπούλη
B316,B316,Faculty Meeting Room,Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
B317,B317,Xenofontas Dimitropoulos,Ξενοφόντας Δημητρόπουλος
B318,B318,Faculty Meeting Room,Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
B319,B319,Georgios Tziritas,Γεώργιος Τζιρίτας
B320,B320,Faculty Meeting Room,Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
B321,B321,,
B322,B322,,
B323,B323,,
B325,B325,,
B327,B327,Apostolos Traganitis,Απόστολος Τραγανίτης
B329,B329,Nikolaos Komontakis,Νικόλαος Κομοντάκης
E301,E301,Nikolaos Tsatsakis,Visiting Scientist
E302,E302,Meeting Room,Αίθουσα Συναντήσεων
E303,E303,Dr. Manos Kamarianakis,Visiting Collaborator
E304,E304,Rena Kalaitzaki,Administration
E305,E305,Maria Saviolaki,ΜΟΝΑΔΑ ΙΣΟΤΙΜΗΣ ΠΡΟΣΒΑΣΗΣ
E306,E306,Kostas Magoutis,Chair
E307,E307,Anna Sfakianaki,Άννα Σφακιανάκη
E308,E308,Visiting Faculty,Επισκέπτης Καθηγητής
E309,E309,Seminar Room,E2
E310,E310,Visiting Faculty,Επισκέπτης Καθηγητής
E311,E311,Seminar Room,E2
E313,E313,Seminar Room,E1
E315,E315,Seminar Room,E1
E317,E317,Control Room,Αίθουσα Ελέγχου
H301,H301,Postgraduate Students,Μεταδιδακτορικοί Φοιτητές
H302,H302,Multimedia Informatics Lab (MIL) Speech Signal Processing,Εργαστήριο Πολυμέσων - Επεξεργασία Σήματος Φωνής
H303,H303,Georgios Kafentzis,Visiting Faculty
H304,H304,Multimedia Informatics Lab (MIL) Speech Signal Processing,Εργαστήριο Πολυμέσων - Επεξεργασία Σήματος Φωνής
H305,H305,Yannis Stylianou,Γιάννης Στυλιανού
H306,H306,PLATO - Programming Languages and Tools Laboratory,ΠΛΑΤΩΝ - Εργαστήριο Γλωσσών και Εργαλείων Προγραμματισμού
H307,H307,Nikos Siafakas,Visiting Professor
H308,H308,Distance Learning Classroom,Αίθουσα Τηλεκπαίδευσης
H309,H309,Haridimos Kondylakis,Χαρίδημος Κονδυλάκης
H310,H310,Storage Room,Αποθήκη
H311,H311,Kostas Magoutis,Associate Professor
H312,H312,,
H314,H314,,
H316,H316,,
K301,K301,,
K302,K302,"Computational Vision, Graphics and Robotics Laboratory",Εργαστήριο Υπολογιστικής Όρασης Γραφικής και Ρομποτικής
K303,K303,IsItMeeting Room,Αίθουσα Συναντήσεων
K304,K304,"Computational Vision, Graphics and Robotics Laboratory",Εργαστήριο Υπολογιστικής Όρασης Γραφικής και Ρομποτικής
K305,K305,Ioannis Tsamardinos,Ιωάννης Τσαμαρδίνος
K306,K306,Cybersecurity and Privacy Laboratory,Εργαστήριο Κυβερνοασφάλειας και Ιδιωτικότητας
K307,K307,Dimitris Plexousakis,Δημήτρης Πλεξουσάκης
K308,K308,Networks and Information Visualization Laboratory,Εργαστήριο Δικτύων και Οπτικοποίησης Πληροφορίας
K309,K309,Antonis Argyros,Αντώνης Αργυρός
K310,K310,Human-Computer Interaction Laboratory,Εργαστήριο Αλληλεπίδρασης Ανθρώπου-Υπολογιστή
K311,K311,Panagiota Fatourou,Παναγιώτα Φατούρου
K312,K312,Human-Computer Interaction Laboratory,Εργαστήριο Αλληλεπίδρασης Ανθρώπου-Υπολογιστή
K313,K313,Panos Trahanias,Πάνος Τραχανίας
K314,K314,"Computer Architecture, Systems, and Languages Laboratory","Εργαστήριο Αρχιτεκτονικής, Συστημάτων, και Γλωσσών Υπολογιστών"
K315,K315,Antonis Savidis,Αντώνης Σαββίδης
K316,K316,"Computer Architecture, Systems, and Languages Laboratory","Εργαστήριο Αρχιτεκτονικής, Συστημάτων, και Γλωσσών Υπολογιστών"
K317,K317,Ioannis G. Tollis,Ιωάννης Γ. Τόλλης
K319,K319,Vassilis Papaefstathiou,Βασίλης Παπαευσταθίου
K321,K321,Constantine Stephanidis,Κωνσταντίνος Στεφανίδης
K323,K323,Evangelos Markatos,Βαγγέλης Μαρκάτος
K325,K325,Angelos Bilas,Άγγελος Μπίλας
K327,K327,Polyvios Pratikakis,Πολύβιος Πρατικάκης
K329,K329,Manolis G. H. Katevenis,Μανόλης Γ. Η. Κατεβαίνης
AMFA,ΑΜΦ Α,Αμφιθέατρο Α,Auditorium A
AMFSO,ΑΜΦ Σ.Ο.,Αμφιθέατρο Σ.Ο.,Auditorium S.O.
AMFA_DOWN,ΑΜΦ Α,Αμφιθέατρο Α,Auditorium A
AMFSO_DOWN,ΑΜΦ Σ.Ο.,Αμφιθέατρο Σ.Ο.,Auditorium S.O.
Anagnostiria,Study Rooms,Αναγνωστήρια,

K1,K1 Corridor,,
